speaker_a,speaker_b,scenes_together,mean_sentiment,std_sentiment,total_interactions,sentiment_trend,seasons_together
Andy,Holly,9,0.07321780821917809,0.3333918420834542,73,-1.0,2
Dwight,Michael and Dwight,9,0.07312380952380952,0.2559770784097705,42,-0.2104930325912993,5
Jan,Kelly,9,0.22192692307692308,0.3628972699069492,52,0.7849202813596577,3
Holly,Phyllis,9,0.19557384615384615,0.3234538194487373,65,0.9999999999999999,2
Karen,Stanley,8,0.04834615384615385,0.28073910586544615,26,0.0,1
Erin,Irene,8,0.05244468085106383,0.2782960331125378,47,0.0,1
Holly,Meredith,8,0.13750307692307692,0.32678576137384935,65,-0.9833704602806899,3
Bob Vance,Michael,8,0.08836086956521738,0.3658295786875661,46,-0.326950560821615,5
Jim,Packer,8,0.07306,0.34319642788683813,35,0.0,1
Angela,Clark,8,0.15912142857142858,0.2665915406400142,28,0.0,1
Group,Jim,8,0.08184186046511627,0.26664329210472487,43,-0.009695570371316534,5
Dwight,Harry,8,0.06567222222222223,0.277543973437288,54,0.0,1
Michael,Nick,8,0.18806818181818177,0.3945634381374889,44,1.0,2
Deangelo,Pam,8,0.1662551724137931,0.39948989421097303,58,0.0,1
Grotti,Michael,8,0.05232125,0.3109660542944157,80,0.0,1
Dwight,Isabel,8,0.1610179104477612,0.2975834802856458,67,0.0,1
Bob,Phyllis,8,0.191675,0.2997402225956114,48,-0.6011224417945081,4
Dwight,Josh,8,0.09874864864864864,0.3101463539630157,37,0.0,1
Jim,Josh,8,0.11401463414634146,0.2639607607211267,41,0.0,1
Martin,Michael,8,0.09438518518518518,0.47904704764208217,54,0.0,1
Carol,Dwight,8,0.13211020408163265,0.28207804408904497,49,-0.9999999999999999,2
Gabe,Stanley,8,0.08142692307692306,0.3411639697786798,26,-0.9409044487937356,3
Dwight,Nate,8,0.06996986301369863,0.3388199492294862,73,0.4258598608453335,3
Brian,Pam,8,0.16848974358974358,0.321715625179365,117,0.0,1
Jan,Toby,8,0.08787727272727272,0.30457607936250464,44,0.9896066388845862,3
Phyllis,Val,8,0.06766129032258066,0.3654801814294311,31,0.9999999999999999,2
Everybody,Michael,8,0.2512625,0.3663384035494758,56,0.8308428431455909,4
David,Jan,8,0.139766,0.2612671181836704,50,-1.0,2
